Date,QQQ,SPY
2020-12-24,301.92926025390625,348.497802734375
2020-12-28,304.9723815917969,351.4916076660156
2020-12-29,305.2454528808594,350.821044921875
2020-12-30,305.2552185058594,351.3215637207031
2020-12-31,306.0061950683594,353.10662841796875
2021-01-04,301.68536376953125,348.2994384765625
2021-01-05,304.1725769042969,350.6982727050781
2021-01-06,299.95904541015625,352.7949523925781
2021-01-07,307.2156066894531,358.03656005859375
2021-01-08,311.1658020019531,360.0765380859375
2021-01-11,306.66943359375,357.64935302734375
2021-01-12,306.18182373046875,357.72491455078125
2021-01-13,308.24951171875,358.68817138671875
2021-01-14,306.6012878417969,357.43212890625
2021-01-15,304.1725769042969,354.8254699707031
2021-01-19,308.6104736328125,357.6115417480469
2021-01-20,315.7889404296875,362.5603942871094
2021-01-21,318.31512451171875,362.8909912109375
2021-01-22,317.3983154296875,361.60650634765625
2021-01-25,320.0220031738281,363.03271484375
2021-01-26,320.4901123046875,362.46600341796875
2021-01-27,311.555908203125,353.60711669921875
2021-01-28,313.3994445800781,356.6482849121094
2021-01-29,306.8059997558594,349.50830078125
2021-02-01,314.4722900390625,355.32598876953125
2021-02-02,319.6025695800781,360.3504333496094
2021-02-03,318.33465576171875,360.6336975097656
2021-02-04,322.0994873046875,364.732666015625
2021-02-05,323.19183349609375,366.16815185546875
2021-02-08,325.3570861816406,368.8126220703125
2021-02-09,325.2889404296875,368.5670471191406
2021-02-10,324.5475769042969,368.406494140625
2021-02-11,326.33258056640625,369.00146484375
2021-02-12,328.1564636230469,370.82427978515625
2021-02-16,327.26885986328125,370.5032043457031
2021-02-17,325.6985168457031,370.588134765625
2021-02-18,324.2745361328125,369.0109558105469
2021-02-19,322.8602600097656,368.3592834472656
2021-02-22,314.4917907714844,365.52593994140625
2021-02-23,313.5554504394531,365.96978759765625
2021-02-24,316.1401062011719,370.0026550292969
2021-02-25,305.1186218261719,361.08709716796875
2021-02-26,306.3963317871094,359.2265319824219
2021-03-01,315.6134033203125,367.9342346191406
2021-03-02,310.55133056640625,365.0632019042969
2021-03-03,301.53912353515625,360.2276611328125
2021-03-04,296.60382080078125,355.7698669433594
2021-03-05,301.0709533691406,362.31488037109375
2021-03-08,292.5463562011719,360.5110168457031
2021-03-09,304.084716796875,365.6581726074219
2021-03-10,303.21673583984375,367.9342346191406
2021-03-11,310.20025634765625,371.6647644042969
2021-03-12,307.68377685546875,372.1653137207031
2021-03-15,310.9707336425781,374.3847961425781
2021-03-16,312.6776123046875,373.91259765625
2021-03-17,313.96502685546875,375.1875915527344
2021-03-18,304.34820556640625,369.7286682128906
2021-03-19,305.4210510253906,369.04461669921875
2021-03-22,311.14862060546875,371.9914245605469
2021-03-23,309.79119873046875,369.0635681152344
2021-03-24,304.5664978027344,367.18743896484375
2021-03-25,304.0391845703125,369.2530517578125
2021-03-26,308.5997619628906,375.2036437988281
2021-03-29,308.511962890625,375.0140380859375
2021-03-30,306.9591064453125,374.0191650390625
2021-03-31,311.656494140625,375.53515625
2021-04-01,316.9691162109375,379.59063720703125
2021-04-05,323.29730224609375,385.0389099121094
2021-04-06,323.0727233886719,384.8115539550781
2021-04-07,323.8539733886719,385.2568359375
2021-04-08,327.2329406738281,387.0856018066406
2021-04-09,329.2154541015625,389.8997497558594
2021-04-12,328.7857971191406,390.0418395996094
2021-04-13,332.6236877441406,391.1978454589844
2021-04-14,328.6294250488281,389.8619079589844
2021-04-15,333.6100158691406,394.0498962402344
2021-04-16,334.0007019042969,395.3669738769531
2021-04-19,330.9440002441406,393.424560546875
2021-04-20,328.5318298339844,390.5440979003906
2021-04-21,331.3443908691406,394.239501953125
2021-04-22,327.3501892089844,390.63885498046875
2021-04-23,331.4713439941406,394.8742370605469
2021-04-26,333.6295471191406,395.6985778808594
2021-04-27,332.18426513671875,395.6133728027344
2021-04-28,331.0611877441406,395.4996643066406
2021-04-29,332.2525939941406,398.0201110839844
2021-04-30,330.0748291015625,395.4049377441406
2021-05-03,328.3169860839844,396.2577209472656
2021-05-04,322.40863037109375,393.8130798339844
2021-05-05,321.3246765136719,393.9362487792969
2021-05-06,323.7466125488281,397.08203125
2021-05-07,326.37359619140625,399.9720153808594
2021-05-10,318.1312255859375,396.0113525390625
2021-05-11,317.6917724609375,392.4770202636719
2021-05-12,309.4689636230469,384.1388244628906
2021-05-13,311.86163330078125,388.75323486328125
2021-05-14,318.74652099609375,394.7226867675781
2021-05-17,316.8128662109375,393.7182922363281
2021-05-18,314.674072265625,390.3262023925781
2021-05-19,315.0354919433594,389.3028259277344
2021-05-20,321.1293029785156,393.49090576171875
2021-05-21,319.3519287109375,393.1687316894531
